id	veracity
2296	0
2251	1
2667	1
736	1
2036	1
326	1
1742	1
2122	1
324	0
1727	0
2231	0
2151	0
1743	0
2185	1
2488	1
266	0
2483	0
2267	0
1834	1
1694	0
3586	0
1831	0
741	1
744	1
2530	0
2196	0
2484	1
2291	0
2145	0
3648	1
1863	1
2157	0
2505	1
2207	0
2556	1
2176	1
2272	1
373	1
1749	0
1795	1
731	1
1752	0
747	1
1787	0
2220	1
1852	0
1856	1
1735	0
1778	1
3365	1
2229	1
2200	1
1706	1
1700	0
3761	1
2223	1
2161	1
2257	1
2523	1
2326	0
1750	1
328	1
1815	0
1779	0
1736	0
3410	1
2597	1
1814	1
2235	1
1876	1
3099	1
2086	1
1777	1
1763	1
2164	1
1775	1
2181	0
2747	1
1878	1
4018	0
2125	1
739	1
374	1
800	1
2214	1
2338	0
2037	1
594	0
1865	0
4004	1
2140	1
3647	1
2555	1
312	1
2284	1
2255	1
2224	1
857	1
2046	1
2083	1
3584	1
1776	1
2118	0
1712	1
3016	0
2584	1
1802	0
1692	0
2316	0
2147	0
2328	0
51	1
1822	1
318	1
3255	1
2599	1
2506	1
1809	1
543	1
2598	1
3506	1
735	1
2107	1
723	1
2315	1
2318	1
1456	1
2099	1
2155	1
2590	0
1737	1
1729	1
1812	0
3906	1
2049	1
2131	0
1259	1
1746	1
1832	1
2184	1
724	0
2217	1
2859	1
2554	0
1756	1
2245	1
1738	0
1677	1
3364	0
2171	0
2097	1
2333	0
1720	0
2043	1
2038	1
2093	1
2249	0
3657	1
745	1
2016	0
1833	1
1764	1
2079	0
1765	1
3175	1
2075	0
2156	1
494	1
4050	0
2515	1
3645	1
3204	1
2542	1
1702	1
2010	1
555	1
2332	0
2160	0
2283	1
1801	1
2177	1
2149	1
2305	1
2120	0
2545	1
1696	1
3589	0
1717	0
2189	1
2250	0
1754	1
1210	0
2625	1
2208	0
2034	1
2135	1
3299	1
1731	1
2281	0
1757	1
2247	1
1803	0
1816	1
2308	1
725	1
726	1
3268	1
2601	1
2508	1
2271	1
2202	1
3679	1
2234	1
267	1
2495	1
2241	1
3382	1
1678	0
1148	1
790	1
2158	1
1782	0
2197	1
2282	0
1730	1
2219	1
2109	1
2525	1
740	1
1786	0
69	0
2322	0
2221	0
2300	1
2041	1
311	1
727	1
2609	1
2858	1
2152	1
2180	1
1688	0
1316	1
1810	1
2774	1
2341	0
748	1
2329	0
2610	1
2025	1
2209	1
1693	1
2558	1
3651	1
2489	1
2608	1
322	1
1828	1
3256	1
2405	1
2335	0
795	1
1745	1
2087	1
1807	1
321	0
1723	0
1825	1
3619	1
1788	1
1886	1
3654	1
3383	1
3646	1
1711	1
3590	0
2290	0
2198	0
2126	1
1868	0
2175	0
1769	1
2275	1
66	1
3199	1
2246	1
2242	0
1826	1
1804	1
2026	1
1800	1
2035	1
2252	0
2854	1
2205	0
2154	0
1793	0
2042	1
2178	0
2091	1
2063	1
2851	1
1705	0
2129	1
2218	0
1830	1
2496	1
2307	1
2248	0
1762	1
2543	0
2031	1
2216	0
2266	1
2113	0
1761	0
2039	1
1709	0
3587	1
482	1
2085	0
2345	0
2244	0
2190	1
3554	1
